#{"t_start": 1696266840.4044552, "env_id": "None"}
r,l,t,rendimiento,rentabilidadMedia,aciertos,errores,aciertosplus
-154.16891,500,33.715195,0.7233351865234601,-0.13978558865621143,43.0,46.0,3.0
-179.88005,500,35.216617,1.0675732650346106,0.03932626015851526,41.0,34.0,1.0
-170.84242,500,36.719387,1.0833442769860546,0.04820901611246736,41.0,37.0,2.0
-188.29985,500,38.227444,0.6148968704010408,-0.226071548367546,30.0,46.0,5.0
-176.1068,500,39.727447,0.85913115967145,-0.06866147555383056,40.0,42.0,1.0
-159.4854,500,41.224455,1.3939634300282098,0.18028163109986672,54.0,30.0,4.0
-183.47249,500,42.721462,0.5839946165909321,-0.2540878635815104,27.0,44.0,1.0
-179.22983,500,44.217973,0.6956767122630918,-0.1619295065628253,39.0,39.0,3.0
-165.92824,500,45.721531,0.9471255907840848,-0.005827861278891733,51.0,39.0,3.0
-164.00294,500,47.213225,1.6900488862618583,0.29319839606675074,37.0,41.0,9.0
-156.83061,500,48.709682,1.0306944008820034,0.03410928458180695,47.0,41.0,3.0
-168.91411,500,50.201185,1.0808359109466197,0.04293786796653121,51.0,34.0,0.0
-169.75818,500,51.705635,1.2217802164066094,0.10520541556114832,53.0,35.0,1.0
-174.14525,500,53.191856,0.7573713928637197,-0.11359652517144286,47.0,38.0,2.0
-168.27286,500,54.685327,0.717677040041762,-0.1546014206015192,38.0,40.0,1.0
-183.01706,500,56.184149,0.8249700500026459,-0.07328679106797137,45.0,42.0,3.0
-178.95049,500,57.69772,1.0008493984887208,0.010399355663055887,47.0,35.0,1.0
-153.04858,500,59.190347,0.8679426144222279,-0.057117916763401944,43.0,42.0,2.0
-163.86609,500,60.685686,1.10131155065453,0.05398316425966182,50.0,33.0,1.0
-165.58757,500,62.178805,1.113234856047893,0.08001796566321417,48.0,41.0,6.0
-174.99847,500,63.676108,0.9225765549066091,-0.02985996455847867,46.0,40.0,2.0
-163.09991,500,65.166458,0.6564045565492554,-0.17828068128655555,41.0,44.0,7.0
-155.98824,500,66.66525,0.8977480266223893,-0.04062877606403431,39.0,49.0,2.0
-172.14174,500,68.164419,0.804773820477809,-0.0972182274022722,42.0,36.0,2.0
-192.84048,500,69.664593,1.1248042308284092,0.06586374276387391,47.0,32.0,1.0
-158.75603,500,71.162516,1.0211205688608054,0.03449495121044699,45.0,41.0,3.0
-185.73982,500,72.662096,1.091033209633585,0.05964334044310726,45.0,37.0,4.0
-141.95781,500,74.157372,1.035054169198075,0.021092696614482986,49.0,43.0,0.0
-160.73157,500,75.663553,1.234648962709422,0.11460976128301953,51.0,35.0,1.0
-192.86082,500,77.1514,0.9884377101171588,0.014625196506164673,39.0,37.0,3.0
-170.7352,500,78.661729,1.2539457351848464,0.11966840690369557,56.0,26.0,1.0
-163.47626,500,80.170072,1.3507100364643738,0.16876944161625673,43.0,33.0,4.0
-141.51425,500,81.734447,1.3477034455354633,0.16281675079466057,49.0,39.0,4.0
-176.08897,500,83.237395,0.8726165762351394,-0.05953684668049225,37.0,39.0,1.0
-167.79059,500,84.7414,1.1699788947402179,0.08571401329272915,50.0,37.0,1.0
-174.13254,500,86.291233,0.7606946734811405,-0.11026143031916791,41.0,35.0,3.0
-159.6625,500,87.825025,1.2376795746647724,0.12062432476557838,49.0,39.0,2.0
-166.73672,500,89.367719,1.0807214719453238,0.056765973260796465,40.0,43.0,4.0
-164.28055,500,90.92397,0.710658965177301,-0.15536264325366567,43.0,46.0,1.0
-169.84837,500,92.474367,1.0219283019332992,0.024808521885125834,50.0,38.0,3.0
-156.68907,500,94.058076,1.1940164297109956,0.09968182812527981,52.0,38.0,3.0
-163.28667,500,95.567903,1.5008832602948674,0.22366971891188547,45.0,37.0,6.0
-155.05151,500,97.064169,0.844589867711706,-0.07102240534002324,39.0,44.0,3.0
-152.00883,500,98.57384,0.9499866571498876,-0.018033095606278804,51.0,36.0,1.0
-152.16788,500,100.08584,0.829642004656897,-0.08392504852404781,39.0,46.0,0.0
-180.15213,500,101.588083,0.6824085511281548,-0.16172617247673943,37.0,36.0,4.0
-151.12952,500,103.07531,1.7760393877131995,0.3059718367968062,53.0,34.0,7.0
-157.93285,500,104.565487,0.9363977703467311,-0.018236213084905806,41.0,39.0,3.0
-173.73273,500,106.064386,1.202969986105871,0.10271862506563356,56.0,33.0,1.0
-167.0915,500,107.558469,0.6805362464510267,-0.14212273702571948,39.0,40.0,4.0
-164.04314,500,109.042056,0.916656830923513,-0.036430592316336274,44.0,42.0,1.0
-173.99078,500,110.527422,0.9061827094590438,-0.037948621372776103,40.0,46.0,3.0
-177.99086,500,112.022754,0.8953453644587368,-0.041323021006499094,45.0,34.0,2.0
-179.60794,500,113.502789,0.9549150926205924,0.021499711476750116,40.0,43.0,8.0
-181.00894,500,114.988526,0.8936063799862103,-0.04510647691887493,40.0,40.0,3.0
-187.92569,500,116.477145,1.025687043482117,0.018571788939550138,40.0,31.0,1.0
-176.7711,500,117.971641,1.1325621216051276,0.07042536761542922,45.0,30.0,2.0
-156.0537,500,119.46659,0.8110621261273356,-0.09181012054209559,36.0,40.0,4.0
-167.78137,500,120.958018,1.2244003813187159,0.10931741721669164,42.0,34.0,0.0
-173.83662,500,122.441684,1.1516745723524437,0.08170513387217437,47.0,33.0,0.0
-156.03635,500,123.965081,0.793059894576277,-0.09949237846343945,38.0,44.0,5.0
-173.58102,500,125.45601,1.136478225180345,0.08912720650309719,44.0,35.0,6.0
-164.032,500,126.941924,0.8693140666483401,-0.05308752035966613,48.0,37.0,2.0
-166.91315,500,128.428466,0.9941857088564127,0.00900952310777281,49.0,33.0,2.0
-154.74982,500,129.938618,1.2330465021136203,0.11081213782627453,46.0,36.0,1.0
-164.04718,500,131.440833,0.9062137501710985,-0.03879599489450458,43.0,42.0,1.0
-162.68513,500,132.950684,1.2616362556082867,0.1274829494107929,49.0,34.0,1.0
-160.17828,500,134.447649,1.7961158218513043,0.3087413400950215,54.0,29.0,6.0
-158.89499,500,135.945385,1.0648879781282745,0.0393558225206776,44.0,39.0,1.0
-167.01314,500,137.459815,0.8960609689133041,-0.04489962957635091,46.0,38.0,3.0
-150.20667,500,138.979491,0.7351100928240556,-0.13609285596511844,49.0,46.0,1.0
-177.06384,500,140.491701,0.9250044026119252,-0.031935107680886254,42.0,39.0,0.0
-162.99599,500,141.988254,0.9036969429487663,-0.03959266417460805,39.0,41.0,3.0
-197.88861,500,143.496846,1.062427045914461,0.03986615270143018,44.0,33.0,1.0
-159.19559,500,145.012963,0.730238807414471,-0.13674015349963226,48.0,38.0,2.0
-163.24731,500,146.538777,0.7097506370965458,-0.15609690255868097,40.0,46.0,2.0
-159.82114,500,148.050278,1.1454336203819442,0.07664316437504576,43.0,35.0,1.0
-150.14699,500,149.55225,0.82013494340971,-0.09124751214939925,45.0,49.0,1.0
-140.72202,500,151.06152,1.049195187775622,0.044109499789251605,53.0,46.0,5.0
-163.97144,500,152.564425,0.8595925000228193,-0.05825833741793596,45.0,35.0,3.0
-154.68121,500,154.080412,1.0908120555246668,0.06835790831632987,43.0,35.0,4.0
-168.29102,500,155.591479,0.697593236193967,-0.16717275766407136,34.0,44.0,1.0
-156.66225,500,157.097434,1.3812303400732127,0.16886420180690948,55.0,25.0,0.0
-164.48512,500,158.590707,1.4674660382164226,0.20286913681182162,52.0,27.0,2.0
-168.14813,500,160.095487,0.7923317811364617,-0.09944839805656241,38.0,38.0,2.0
-136.87035,500,161.605373,1.1277510769510914,0.06481042420985406,52.0,41.0,0.0
-179.87488,500,163.091666,1.0589452116212374,0.0393806905779191,54.0,26.0,1.0
-160.56429,500,164.600523,1.3725178169580505,0.16930566188911295,51.0,35.0,3.0
-171.60938,500,166.10504,1.092300667569942,0.06928561257521154,48.0,36.0,6.0
-165.89455,500,167.597818,1.0596555397895113,0.0359486162556828,41.0,29.0,1.0
-167.07957,500,169.084894,0.9038179381285755,-0.03978205021847531,44.0,40.0,0.0
-164.11174,500,170.561771,0.6864308649083429,-0.1601800075366857,40.0,46.0,4.0
-166.9142,500,172.060865,1.0773411115621803,0.04290382293105427,48.0,35.0,0.0
-170.99527,500,173.562483,0.930445221370189,-0.025060012479176552,44.0,38.0,2.0
-173.99342,500,175.059269,0.9250703068387943,-0.030687051210664673,40.0,41.0,2.0
-164.98476,500,176.557665,0.8405841244029926,-0.06330798086205619,50.0,43.0,4.0
-169.23941,500,178.052063,0.748923907118625,-0.13740561876060442,35.0,50.0,1.0
-185.98709,500,179.548433,0.8579057635274332,-0.05978051619423591,43.0,34.0,4.0
-144.8891,500,181.034651,0.9309220531672281,-0.020084834447130273,51.0,42.0,5.0
-170.49133,500,182.517391,1.228302893131055,0.12571062514204878,43.0,39.0,7.0
-94.789276,500,185.558892,1.0056326842674215,0.017510726042850477,17.0,15.0,5.0
-64.78467,500,187.731632,1.0152896838749108,0.02778511168505371,12.0,12.0,3.0
-66.1853,500,189.905279,0.7348652175332971,-0.13929731318649685,11.0,17.0,2.0
-51.874207,500,192.102185,0.9975753478991589,0.012103466474623736,13.0,9.0,3.0
-57.061478,500,194.287949,0.883131113297122,-0.0544952856363482,12.0,12.0,1.0
-64.00142,500,196.472829,0.8919440344972671,-0.045824095697332645,12.0,12.0,2.0
-56.59482,500,198.652661,1.0512523575252517,0.0628708970617266,13.0,17.0,4.0
-56.042427,500,200.845448,0.8209297544955757,-0.0810437890779746,14.0,16.0,3.0
-55.873623,500,203.024789,0.9979907629488264,0.00900806565129847,13.0,14.0,3.0
-36.309742,500,205.225204,0.7179079788609131,-0.15486885215169244,16.0,11.0,0.0
-53.613052,500,207.417277,1.2959162871763756,0.13652350360858212,14.0,7.0,4.0
-54.0934,500,209.612049,0.896701775367238,-0.046700479400244854,13.0,14.0,0.0
-51.93483,500,211.810134,1.0592788476144408,0.032586585137837465,14.0,12.0,0.0
-57.886192,500,214.010607,1.0143022311167709,0.02508996255806961,17.0,13.0,2.0
-43.529823,500,216.223647,1.422962367129256,0.18344360187324682,15.0,6.0,2.0
-44.24782,500,218.427799,0.7397060102756442,-0.13664819868039874,11.0,11.0,1.0
-54.752605,500,220.635165,1.1984819127082704,0.09710077389844196,10.0,10.0,1.0
-37.112232,500,222.878332,0.8594255032513033,-0.07138765330496072,9.0,14.0,1.0
-47.956738,500,225.096119,0.9993860661365317,0.006241851805065479,9.0,10.0,1.0
-31.624409,500,227.314955,1.2402911674587345,0.1161746636195854,13.0,7.0,4.0
-34.671875,500,229.542812,1.2443185181272383,0.11562808781831807,9.0,8.0,2.0
-33.15341,500,231.749631,0.7816818790229954,-0.10731555565135936,10.0,11.0,2.0
-47.197987,500,233.954087,0.7210184022653109,-0.1370895316043953,6.0,5.0,2.0
-36.736828,500,236.163807,1.140694732104573,0.07405391019334595,9.0,9.0,3.0
-41.089176,500,238.37824,0.8531617561988037,-0.07281835587471297,9.0,8.0,2.0
-26.02584,500,240.601069,0.8709357111010145,-0.05394797089227915,9.0,9.0,1.0
-35.2191,500,242.823047,0.7182947016898239,-0.14871487078552786,8.0,11.0,2.0
-33.525978,500,245.052832,0.567351227079724,-0.2629879852509257,7.0,12.0,0.0
-29.83472,500,247.287611,1.1752392508157048,0.08264067590468732,8.0,3.0,0.0
-22.631695,500,249.51328,1.1849493618060443,0.09712009766703045,7.0,4.0,4.0
-28.392647,500,251.739265,0.660675927825507,-0.19632323948258668,5.0,9.0,0.0
-30.07494,500,253.961858,0.8671892533332578,-0.061338019324899296,4.0,8.0,1.0
-25.880741,500,256.19588,1.0352811165310272,0.02157060250297893,7.0,6.0,2.0
-35.167725,500,258.410061,0.8376425338242939,-0.08386216002152197,6.0,7.0,0.0
-27.84922,500,260.635864,1.0132747948947938,0.01593391932509003,5.0,9.0,3.0
-27.929977,500,262.850938,1.0120057118047316,0.012712822694744996,9.0,7.0,1.0
-24.026737,500,265.08252,0.970315835718219,-0.013369102665841626,4.0,5.0,0.0
-25.549942,500,267.309453,1.2541329643676793,0.1275130061600666,5.0,8.0,3.0
-18.83998,500,269.537909,1.0877735128132162,0.045386624929381614,8.0,6.0,2.0
-17.106054,500,271.774345,0.8898795876363338,-0.05302708989170979,5.0,5.0,0.0
-19.111748,500,274.024136,0.883674081347133,-0.05587473136805404,5.0,5.0,0.0
-21.879595,500,276.254906,1.0441342163756477,0.02859088795387632,5.0,2.0,1.0
-10.07248,500,278.500691,0.9250380199686722,-0.036240339349184414,3.0,5.0,0.0
-18.882128,500,280.748438,0.9735442832954856,-0.0026821218224117316,4.0,9.0,2.0
-17.78173,500,282.974452,1.1816486497318648,0.08646238967443459,7.0,3.0,1.0
-13.887355,500,285.215399,1.053874164013127,0.029584432026995344,4.0,3.0,1.0
-12.937636,500,287.462846,0.9331840455419635,-0.02561578782434798,3.0,5.0,3.0
-5.8799663,500,289.698992,1.0530881540030328,0.02977226313500192,4.0,4.0,2.0
-10.765102,500,291.958461,1.1032544540902376,0.0581174398334835,3.0,1.0,3.0
-9.114375,500,294.208128,0.8853940963186758,-0.05718711685513833,1.0,2.0,0.0
-7.9975867,500,296.455878,0.9478745676766039,-0.021816519460837014,3.0,2.0,1.0
-4.41259,500,298.698812,0.5959431389140959,-0.20629486692661558,0.0,2.0,0.0
-7.0497885,500,300.951717,0.9500904648411662,-0.024894379941970912,1.0,2.0,0.0
-6.9170003,500,303.206974,1.044934587741132,0.023378314128897515,2.0,2.0,1.0
-4.629764,500,305.508752,1.2022443251155206,0.10709742266698569,3.0,1.0,2.0
-9.837387,500,307.782633,1.0781438822704783,0.04440378907403486,3.0,2.0,1.0
-10.785955,500,310.055125,1.1399147755641728,0.068782969160125,5.0,1.0,2.0
-7.5662637,500,312.346812,1.2489461662142014,0.13478686148362146,2.0,2.0,1.0
-7.343464,500,314.594776,0.6846527349718418,-0.17173204790597107,2.0,3.0,0.0
-8.670491,500,316.844271,1.1759384696377666,0.09262213932897007,2.0,2.0,2.0
-8.542681,500,319.089136,1.3361149120246363,0.1524397442591081,3.0,0.0,3.0
-10.258722,500,321.339123,0.7154792384015054,-0.143504515845936,1.0,2.0,1.0
-6.638772,500,323.601419,1.2466232321763835,0.11821438483955488,3.0,1.0,2.0
-7.2376246,500,325.855628,0.7720601202161939,-0.11881224264101214,0.0,2.0,0.0
-8.554241,500,328.121402,1.2364479979881744,0.1290940657791863,3.0,2.0,2.0
-7.577678,500,330.376081,1.2750748976406832,0.13908815599788077,2.0,1.0,1.0
-1.1221416,500,332.633153,0.8345630591251318,-0.07965635996627751,2.0,4.0,1.0
-16.058979,500,334.894809,0.9410205511151993,-0.029489724442400334,0.0,1.0,0.0
-8.98098,500,337.16365,0.9508738340058699,-0.017679953831509554,2.0,3.0,1.0
-10.062535,500,339.409327,0.9370545570921733,-0.03126758799029178,2.0,2.0,0.0
-11.638194,500,341.693866,1.1040901305252024,0.08573470445173326,2.0,2.0,1.0
-13.376851,500,343.964161,1.4154323902872457,0.20771619514362283,1.0,0.0,1.0
-4.0018196,500,346.247312,0.9652076115564545,-0.014998550363175156,4.0,2.0,1.0
-11.549204,500,348.509385,0.5136758349173173,-0.27460201140516854,0.0,4.0,0.0
