#{"t_start": 1697827651.0065866, "env_id": "None"}
r,l,t,rendimiento,porfolio,comision
-0.296358,100,5.524857,0.7435211970904158,[0.10016026 0.17873599 0.         0.18068862 0.27053872 0.2698764 ],0.0009087502919137478
-0.2767442,100,5.525005,0.7582484492375958,[0.06119469 0.19890259 0.26983297 0.20145981 0.19794057 0.07066935],0.0012610169932246206
-0.0004409894,100,5.525074,0.9995591113423156,[0.10005695 0.27146944 0.08967947 0.3581796  0.         0.18061453],0.0029500692874193184
-0.12422543,100,5.525127,0.8831807359817699,[0.2979994  0.2017358  0.30012327 0.         0.09978733 0.10035417],0.0022005716487765313
-0.29551333,100,5.525175,0.7441495133083422,[-0.01  0.2   0.2   0.27  0.27  0.07],0.002846978333592415
-0.15624452,100,5.525224,0.8553500370481042,[0.26143438 0.         0.27041787 0.20064862 0.         0.26749915],0.0016061585523188117
-0.2698793,100,5.525272,0.7634716443086484,[0.22126672 0.         0.12069094 0.23339099 0.24464619 0.18000515],0.00043124875128269194
-0.23334551,100,5.525316,0.7918799135164615,"[-2.2845953e-16  2.3266771e-01  3.3809385e-01  1.7329477e-01
  1.7405203e-01  8.1891619e-02]",0.001995349358767272
-0.22761165,100,8.63198,0.7964334712606035,[0.00994196 0.         0.21894354 0.11014188 0.44187522 0.2190974 ],0.0032044915162026885
-0.13702834,100,8.632162,0.871945505821733,[0.23075694 0.22872941 0.08072725 0.15069805 0.         0.30908835],0.001400825498253107
-0.079297274,100,8.632234,0.9237652742478263,[0.39956462 0.         0.         0.         0.6004354  0.        ],0.003556276969611645
-0.18164587,100,8.63229,0.8338965871087509,[0.2726499  0.20209952 0.12658595 0.19934933 0.12883452 0.07048077],0.002049999994784594
-0.20032394,100,8.632336,0.8184655661265151,[0.24 0.23 0.15 0.15 0.08 0.15],0.0013838093489408497
-0.46908292,100,8.63238,0.6255757611213892,[0.2209268  0.16940612 0.22047466 0.220976   0.10834493 0.05987151],0.00190000000372529
-0.0935482,100,8.632425,0.9106941252830484,[0.6694228 0.        0.3305772 0.        0.        0.       ],0.0027036641724407675
-0.49269107,100,8.632468,0.6109800830487792,[0.12 0.07 0.2  0.27 0.27 0.07],0.0018026087276637555
-0.3250986,100,11.735594,0.7224560598718525,[0.2142443  0.1688522  0.22281304 0.15758426 0.06207357 0.17443264],0.0010724441014230248
-0.09147623,100,11.735734,0.9125830007719898,[0.00983819 0.09012532 0.2674995  0.26894242 0.27396768 0.08962687],0.0014026487462222576
-0.13126215,100,11.735801,0.8769878415508555,[0.19 0.18 0.09 0.   0.27 0.27],0.0017359544582664969
-0.21166429,100,11.735851,0.8092363090056934,[-0.00993824  0.18983525  0.19032307  0.1893404   0.18954112  0.2508984 ],0.001899999962747097
-0.3023813,100,11.735897,0.7390562446216082,[0.01006892 0.23295054 0.14777699 0.22667554 0.23357014 0.14895786],0.0026052588999271394
-0.18050271,100,11.735942,0.8348504166507337,[0.09975362 0.08777607 0.26969668 0.08966917 0.36285087 0.09025358],0.0015490360416471958
-0.25025943,100,11.735985,0.7785988030979009,[0.         0.13160242 0.26858243 0.20013402 0.20221657 0.19746457],0.0016531312577426434
-0.13487276,100,11.73603,0.8738270851170226,[-0.01992861  0.11773472  0.24012397  0.17941637  0.2447028   0.23795073],0.002700000037252903
-0.13752745,100,14.830712,0.8715104462866298,[0.22931574 0.         0.2302874  0.15110157 0.30940607 0.07988921],0.000754975355416536
-0.24138543,100,14.830849,0.7855388053058384,[0.27997008 0.09105005 0.26834476 0.         0.         0.3606351 ],0.0019606279745697976
-0.1969612,100,14.830917,0.8212224928256197,[0.01013007 0.         0.11018305 0.43943655 0.1104024  0.32984793],0.0033037324085831645
