fecha,rendimiento_acumulado,rentabilidad step,comision,rentabilidad_1,rentabilidad_2,rentabilidad_3,rentabilidad_4,porcentaje_1,porcentaje_2,porcentaje_3,porcentaje_4,precios_1,precios_2,precios_3
20050313,0.9975,1.0,0.0025,1.0,1.0,1.0,1.0,0.0,0.18,0.41,0.41,2.0621464,0.9679313,4.144515
20050314,1.005740818604082,1.0091615,0.0009000000357627869,1.0,1.0147958,1.0117389,1.0065839,0.0,0.0,0.5,0.5,2.0926576,0.97929376,4.171802
20050315,0.9846298175216598,0.9790159,6.38522207736969e-06,1.0,0.99044734,0.9776538,0.980378,0.0,0.0,0.5,0.5,2.0726671,0.9574103,4.089943
20050316,0.9852076437617066,1.0005903,3.47822904586792e-06,1.0,1.0096447,1.0004395,1.0007412,0.0,0.0,0.5,0.5,2.0926576,0.9578311,4.0929747
20050317,0.9866668900983159,1.0014815,3.769248723983765e-07,1.0,1.0015086,1.0,1.0029631,0.0,0.0,0.5,0.5,2.0958145,0.9578311,4.1051025
20050320,0.9864767486323357,0.9999323,0.00012500002514570952,1.0,0.9934734,1.0039542,0.99630713,-0.00999999,0.03,0.49,0.49,2.082136,0.9616185,4.089943
20050321,0.9929006793185421,1.006636,0.00012402950320392848,1.0,1.0080854,1.0043766,1.0088954,0.0,0.0,0.5,0.5,2.0989707,0.9658271,4.1263247
20050322,0.9876780227016995,0.9947456,5.6111812591552735e-06,1.0,0.9969923,0.9938998,0.9955914,0.0,0.0,0.5,0.5,2.0926576,0.95993537,4.1081333
20050323,0.9941132616944799,1.0065176,2.125576138496399e-06,1.0,1.0090495,1.0100831,1.0029523,0.0,0.0,0.5,0.5,2.1115952,0.9696145,4.1202617
20050324,0.9941044581399917,1.0,8.855685591697692e-06,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2.1115952,0.9696145,4.1202617
20050327,0.9916191969946417,1.0,0.0025,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.1115952,0.9696145,4.1202617
20050328,0.9752644584299359,0.98350704,0.0,1.0,1.0039861,0.98350704,1.0051509,0.0,0.0,1.0,0.0,2.1200123,0.9536227,4.1414847
20050329,0.9817204086157849,1.0066197,0.0,1.0,0.9955337,1.0066197,0.9934112,0.0,0.0,1.0,0.0,2.1105437,0.95993537,4.1141973
20050330,0.9929104845271418,1.0113984,0.0,1.0,1.0059822,1.0113984,0.99042016,0.0,0.0,1.0,0.0,2.1231694,0.9708772,4.074784
20050331,1.006682745601584,1.0138706,0.0,1.0,1.008424,1.0138706,0.9940476,0.0,0.0,1.0,0.0,2.141055,0.9843438,4.050529
20050403,0.9942015283416653,0.98760164,0.0,1.0,0.98230946,0.98760164,0.9917665,0.0,0.0,1.0,0.0,2.1031787,0.9721396,4.017179
20050404,0.9985056301310511,1.0043292,0.0,1.0,1.0255127,1.0043292,1.007547,0.0,0.0,1.0,0.0,2.1568365,0.9763482,4.047497
20050405,1.004100570154316,1.0056033,0.0,1.0,1.0146344,1.0056033,1.0074906,0.0,0.0,1.0,0.0,2.1884005,0.98181903,4.077815
20050406,1.0071134914222253,1.0030006,0.0,1.0,0.99903834,1.0030006,1.0007435,0.0,0.0,1.0,0.0,2.186296,0.98476505,4.080847
20050407,1.000227065651557,0.9931622,0.0,1.0,0.997594,0.9931622,1.002229,0.0,0.0,1.0,0.0,2.1810358,0.97803146,4.089943
20050410,0.9959233485500275,0.99569726,0.0,1.0,0.9995174,0.99569726,0.9955523,0.0,0.0,1.0,0.0,2.1799831,0.97382325,4.071752
20050411,0.9920494661488576,0.99611026,0.0,1.0,0.99469143,0.99611026,0.9977659,0.0,0.0,1.0,0.0,2.1684105,0.9700353,4.0626554
20050412,1.0023792544426608,1.0104126,0.0,1.0,1.010674,1.0104126,1.0052242,0.0,0.0,1.0,0.0,2.1915562,0.98013586,4.0838795
